# x	y	u	v	flags	mask
3.4708e+00	6.7758e+00	-6.8252e-03	-3.1284e-03	0.0000e+00	0.0000e+00
3.6884e+00	6.7758e+00	1.9158e-04	-3.3354e-02	0.0000e+00	0.0000e+00
3.9059e+00	6.7758e+00	-7.6597e-03	-5.8424e-02	0.0000e+00	0.0000e+00
4.1235e+00	6.7758e+00	1.6489e-03	1.4944e-03	0.0000e+00	0.0000e+00
4.3411e+00	6.7758e+00	-5.7300e-03	-1.0096e-02	0.0000e+00	0.0000e+00
4.5586e+00	6.7758e+00	-2.2375e-03	-5.9142e-03	0.0000e+00	0.0000e+00
4.7762e+00	6.7758e+00	0.0000e+00	2.6938e-03	0.0000e+00	0.0000e+00
4.9938e+00	6.7758e+00	5.3233e-03	-0.0000e+00	0.0000e+00	0.0000e+00
5.2114e+00	6.7758e+00	9.2137e-03	2.1953e-03	0.0000e+00	0.0000e+00
5.4289e+00	6.7758e+00	3.0774e-03	-4.4125e-03	0.0000e+00	0.0000e+00
5.6465e+00	6.7758e+00	-7.7635e-07	3.8122e-06	0.0000e+00	0.0000e+00
5.8641e+00	6.7758e+00	-8.6034e-06	-7.3376e-06	0.0000e+00	0.0000e+00
6.0816e+00	6.7758e+00	1.1920e-02	-9.2505e-03	0.0000e+00	0.0000e+00
6.2992e+00	6.7758e+00	7.9561e-03	-4.2580e-03	0.0000e+00	0.0000e+00
6.5168e+00	6.7758e+00	-2.4399e-03	-7.0932e-03	0.0000e+00	0.0000e+00
6.7344e+00	6.7758e+00	-6.1224e-03	-6.1291e-03	0.0000e+00	0.0000e+00
6.9519e+00	6.7758e+00	1.4724e-02	-0.0000e+00	0.0000e+00	0.0000e+00
7.1695e+00	6.7758e+00	3.4907e-05	1.0729e-02	0.0000e+00	0.0000e+00
7.3871e+00	6.7758e+00	0.0000e+00	4.8403e-03	0.0000e+00	0.0000e+00
7.6046e+00	6.7758e+00	-1.2202e-05	2.3065e-03	0.0000e+00	0.0000e+00
7.8222e+00	6.7758e+00	-1.3513e-03	-3.9591e-03	0.0000e+00	0.0000e+00
8.0398e+00	6.7758e+00	-9.1148e-03	1.8323e-02	0.0000e+00	0.0000e+00
8.2574e+00	6.7758e+00	1.0346e-03	1.4469e-02	0.0000e+00	0.0000e+00
8.4749e+00	6.7758e+00	6.4008e-03	-7.5882e-03	0.0000e+00	0.0000e+00
8.6925e+00	6.7758e+00	8.1202e-03	-9.9074e-03	0.0000e+00	0.0000e+00
