# x	y	u	v	flags	mask
4.9938e+00	6.5582e+00	8.7335e-03	1.2733e-02	1.0000e+00	0.0000e+00
5.2114e+00	6.5582e+00	6.3485e-03	1.1788e-02	1.0000e+00	0.0000e+00
5.4289e+00	6.5582e+00	4.3003e-03	1.0994e-02	1.0000e+00	0.0000e+00
5.6465e+00	6.5582e+00	2.6242e-03	1.0343e-02	1.0000e+00	0.0000e+00
5.8641e+00	6.5582e+00	1.3173e-03	9.8067e-03	1.0000e+00	0.0000e+00
6.0816e+00	6.5582e+00	3.4875e-04	9.3478e-03	1.0000e+00	0.0000e+00
6.2992e+00	6.5582e+00	-3.3116e-04	8.9257e-03	1.0000e+00	0.0000e+00
6.5168e+00	6.5582e+00	-7.8166e-04	8.5049e-03	1.0000e+00	0.0000e+00
6.7344e+00	6.5582e+00	-1.0600e-03	8.0585e-03	1.0000e+00	0.0000e+00
6.9519e+00	6.5582e+00	-1.2136e-03	7.5711e-03	1.0000e+00	0.0000e+00
7.1695e+00	6.5582e+00	-1.2770e-03	7.0400e-03	1.0000e+00	0.0000e+00
7.3871e+00	6.5582e+00	-1.2757e-03	6.4751e-03	1.0000e+00	0.0000e+00
7.6046e+00	6.5582e+00	-1.2299e-03	5.8968e-03	1.0000e+00	0.0000e+00
7.8222e+00	6.5582e+00	-1.1571e-03	5.3316e-03	1.0000e+00	0.0000e+00
8.0398e+00	6.5582e+00	-1.0734e-03	4.8080e-03	1.0000e+00	0.0000e+00
8.2574e+00	6.5582e+00	-9.9594e-04	4.3529e-03	1.0000e+00	0.0000e+00
8.4749e+00	6.5582e+00	-9.4257e-04	3.9880e-03	1.0000e+00	0.0000e+00
8.6925e+00	6.5582e+00	-9.3108e-04	3.7281e-03	1.0000e+00	0.0000e+00
8.9101e+00	6.5582e+00	-9.7579e-04	3.5788e-03	1.0000e+00	0.0000e+00
9.1276e+00	6.5582e+00	-1.0845e-03	3.5362e-03	1.0000e+00	0.0000e+00
9.3452e+00	6.5582e+00	-1.2576e-03	3.5878e-03	1.0000e+00	0.0000e+00
9.5628e+00	6.5582e+00	-1.4883e-03	3.7155e-03	1.0000e+00	0.0000e+00
9.7804e+00	6.5582e+00	-1.7640e-03	3.8980e-03	1.0000e+00	0.0000e+00
9.9979e+00	6.5582e+00	-2.0682e-03	4.1141e-03	1.0000e+00	0.0000e+00
1.0215e+01	6.5582e+00	-2.3827e-03	4.3449e-03	1.0000e+00	0.0000e+00
1.0433e+01	6.5582e+00	-2.6908e-03	4.5754e-03	1.0000e+00	0.0000e+00
1.0651e+01	6.5582e+00	-2.9797e-03	4.7959e-03	1.0000e+00	0.0000e+00
1.0868e+01	6.5582e+00	-3.2416e-03	5.0024e-03	1.0000e+00	0.0000e+00
1.1086e+01	6.5582e+00	-3.4731e-03	5.1953e-03	1.0000e+00	0.0000e+00
1.1303e+01	6.5582e+00	-3.6741e-03	5.3761e-03	1.0000e+00	0.0000e+00
1.1521e+01	6.5582e+00	-3.8470e-03	5.5474e-03	1.0000e+00	0.0000e+00
1.1738e+01	6.5582e+00	-3.9956e-03	5.7112e-03	1.0000e+00	0.0000e+00
1.1956e+01	6.5582e+00	-4.1196e-03	5.8607e-03	1.0000e+00	0.0000e+00
1.2174e+01	6.5582e+00	-4.2234e-03	5.9973e-03	1.0000e+00	0.0000e+00
1.2391e+01	6.5582e+00	-4.3098e-03	6.1206e-03	1.0000e+00	0.0000e+00
1.2609e+01	6.5582e+00	-4.3560e-03	6.1876e-03	1.0000e+00	0.0000e+00
1.2826e+01	6.5582e+00	-4.3961e-03	6.2490e-03	1.0000e+00	0.0000e+00
1.3044e+01	6.5582e+00	-4.4294e-03	6.3019e-03	1.0000e+00	0.0000e+00
2.0721e-01	6.3407e+00	2.1010e-02	-5.5217e-03	1.0000e+00	0.0000e+00
4.2478e-01	6.3407e+00	2.1014e-02	-4.7732e-03	1.0000e+00	0.0000e+00
6.4235e-01	6.3407e+00	2.1071e-02	-3.8624e-03	1.0000e+00	0.0000e+00
8.5993e-01	6.3407e+00	2.1206e-02	-2.8183e-03	1.0000e+00	0.0000e+00
1.0775e+00	6.3407e+00	2.1483e-02	-9.0551e-04	1.0000e+00	0.0000e+00
1.2951e+00	6.3407e+00	2.1981e-02	1.3154e-03	1.0000e+00	0.0000e+00
1.5126e+00	6.3407e+00	2.2739e-02	3.8021e-03	1.0000e+00	0.0000e+00
1.7302e+00	6.3407e+00	2.3776e-02	6.4972e-03	1.0000e+00	0.0000e+00
1.9478e+00	6.3407e+00	2.5087e-02	9.2039e-03	1.0000e+00	0.0000e+00
